+------+-----------------+----------+------------+
| cod  |     companie    | plecare  | destinatie |
+------+-----------------+----------+------------+
|  20  |       Wizz      | Germania |   Canada   |
|  43  | TurkishAirlines | Germania |   Canada   |
| 110  |   FlyEmirates   | Germania |   Canada   |
| 119  |       Wizz      | Germania |   Canada   |
| 170  |     BlueAir     | Germania |   Canada   |
| 189  |     BlueAir     | Germania |   Canada   |
| 230  |     BlueAir     | Germania |   Canada   |
| 237  | TurkishAirlines | Germania |   Canada   |
| 277  |     BlueAir     | Germania |   Canada   |
| 317  |       Wizz      | Germania |   Canada   |
| 345  |   FlyEmirates   | Germania |   Canada   |
| 360  |       Wizz      | Germania |   Canada   |
| 373  |     BlueAir     | Germania |   Canada   |
| 377  |   FlyEmirates   | Germania |   Canada   |
| 444  | TurkishAirlines | Germania |   Canada   |
| 446  |       Wizz      | Germania |   Canada   |
| 449  |     BlueAir     | Germania |   Canada   |
| 490  |       Wizz      | Germania |   Canada   |
| 674  |       Wizz      | Germania |   Canada   |
| 816  |     BlueAir     | Germania |   Canada   |
| 826  | TurkishAirlines | Germania |   Canada   |
| 841  | TurkishAirlines | Germania |   Canada   |
| 879  |   FlyEmirates   | Germania |   Canada   |
| 897  | TurkishAirlines | Germania |   Canada   |
| 901  | TurkishAirlines | Germania |   Canada   |
| 950  | TurkishAirlines | Germania |   Canada   |
| 1005 |       Wizz      | Germania |   Canada   |
| 1052 |     BlueAir     | Germania |   Canada   |
| 1096 |     BlueAir     | Germania |   Canada   |
| 1175 |       Wizz      | Germania |   Canada   |
| 1210 |       Wizz      | Germania |   Canada   |
| 1216 | TurkishAirlines | Germania |   Canada   |
| 1293 | TurkishAirlines | Germania |   Canada   |
| 1310 |   FlyEmirates   | Germania |   Canada   |
| 1367 |   FlyEmirates   | Germania |   Canada   |
| 1423 |     BlueAir     | Germania |   Canada   |
| 1425 |       Wizz      | Germania |   Canada   |
| 1480 |   FlyEmirates   | Germania |   Canada   |
| 1487 |       Wizz      | Germania |   Canada   |
| 1559 |       Wizz      | Germania |   Canada   |
| 1568 |       Wizz      | Germania |   Canada   |
| 1603 |     BlueAir     | Germania |   Canada   |
| 1608 |   FlyEmirates   | Germania |   Canada   |
| 1649 |   FlyEmirates   | Germania |   Canada   |
| 1657 |   FlyEmirates   | Germania |   Canada   |
| 1691 |     BlueAir     | Germania |   Canada   |
| 1946 | TurkishAirlines | Germania |   Canada   |
| 1986 |     BlueAir     | Germania |   Canada   |
| 2011 |       Wizz      | Germania |   Canada   |
| 2061 |     BlueAir     | Germania |   Canada   |
| 2063 | TurkishAirlines | Germania |   Canada   |
| 2134 |       Wizz      | Germania |   Canada   |
| 2150 |       Wizz      | Germania |   Canada   |
